"Row No","Bib No","Tag","Ind","Unmatched Heading","Match %-1","Tag-1","Near Match-1","Authority-1","Match %-2","Tag-2","Near Match-2","Authority-2"
"86","014154631","700","1 ","$a Carbajal, Claudia, $e author.","99.5%","400","$a Carbajal, Claudia Espejel","n  93055711 ","99.5%","400","$a Carbajal, Claudia Morales","ns2013003356"
"87","014248821","700","1 ","$a Cheng, Wai, $e instrumentalist.","99.5%","100","$a Cheng, Wai-Ning","no 00027021 ","99.5%","400","$a Cheng, Wai Ming Peter, $d 1958-","no2008132057"
"88","014011628","700","1 ","$a Conrades, George, $e film producer.","99.5%","100","$a Conrades, George H.","n  98046137 ","88.2%","100","$a Conrade, George R.","n  87887949 "
"89","013830139","700","1 ","$a Çiçek, Ali, $e editor.","99.5%","100","$a Çiçek, Ali Ekber","nr 95042279 ","92.3%","100","$a Çîçek, Alî Aydin","no2012030565"
"90","014226176","700","1 ","$a Dilling, Jan, $e author.","99.5%","100","$a Dilling, Jan, $d 1964-","no2014045530","92.3%","100","$a Dilling, Janet","no2009118349"
"91","014246571","700","1 ","$a Fairchild, W.","99.5%","400","$a Fairchild, W. L., $d 1958-","no2012146714","92.3%","100","$a Fairchild, Wilma B.","no 00063595 "
"92","014239850","700","1 ","$a Felici, Fabio, $e author.","99.5%","100","$a Felici, Fabio, $d 1962-","no2012085134","92.9%","100","$a Felici, Fabio $c (Mathematician)","no2014164955"
"93","014115210","700","1 ","$a Fernandez, Ana Teresa, $e photographer.","99.5%","100","$a Fernandez, Ana Teresa, $d 1980-","no2014162078","95.5%","400","$a Fernández, Ana Teresa Acuña","no2009020178"
"94","014151869","700","1 ","$a Fernández, Jordi H.","99.5%","400","$a Fernández, Jordi H. $q (Jordi Humberto)","n  83214292 ","85.0%","100","$a Fernández, Jordi","n 2001009116"
"95","014262817","700","1 ","$a Fichot.","99.5%","100","$a Fichot, Cédric G., $d 1978-","no2014137534","99.5%","100","$a Fichot, M. E.","no2008097468"
"96","014229937","700","1 ","$a Fleischer, Eva, $e editor.","99.5%","100","$a Fleischer, Eva, $d 1922-","no 92029873 ","99.5%","400","$a Fleischer, Eva Funder","n  79031918 "
"97","006633812","700","1 ","$a Fox, John A., $e former owner. $5 mus","99.5%","400","$a Fox, John A., $d 1923-","n  88170030 ","92.3%","100","$a Fox, John A. $c (Architect)","no2001056547"
"98","014266590","700","1 ","$a George, W., $e illustrator. $5 the","99.5%","100","$a George, W. C. $q (Wesley Critz), $d 1888-1982","no2007035690","99.5%","100","$a George, W. Jason","no 98062814 "
"99","014154379","700","1 ","$a Gonnet, Dominique.","99.5%","100","$a Gonnet, Dominique, $d 1950-","n  95023333 ","94.4%","400","$a Gonnet, D. $q (Dominique), $d 1950-","n  95023333 "
"100","014248917","700","1 ","$a Green, Laurence A., $e author.","99.5%","100","$a Green, Laurence $c (Advertising executive)","n 2014060921","89.5%","400","$a Green, Laurence Alexander","nb2009031494"
"101","014201650","700","1 ","$a Greenblatt, Stephen, $e author of introduction, etc.","99.5%","100","$a Greenblatt, Stephen, $d 1943-","n  80033957 ","99.5%","400","$a Greenblatt, Stephen J. $q (Stephen Jay), $d 1943-","n  80033957 "
"102","014250272","700","1 ","$a Gross, Robert A.","99.5%","100","$a Gross, Robert A., $d 1927-","n  82223680 ","99.5%","100","$a Gross, Robert A., $d 1945-","n  90653158 "
"103","013689017","700","1 ","$a Hall, George, $e author of program notes.","99.5%","100","$a Hall, George ""Butch""","no2007066720","99.5%","100","$a Hall, George, $d approximately 1808-1894","n  94017229 "
"104","014149933","700","1 ","$a Hendriks, Mark, $e author.","99.5%","100","$a Hendriks, Mark, $d 1980-","no2011093703","99.5%","400","$a Hendriks, Mark, $d 1971-","nb 99082974 "
"105","009278478","700","1 ","$a Hering, $e binder. $5 hou","99.5%","100","$a Hering, Achim, $d 1969-","n  99028443 ","99.5%","100","$a Hering, Barbara","n  92090380 "
"106","014246609","700","1 ","$a Hunter, A., $e annotator.","99.5%","100","$a Hunter, A. A.","nb 98079190 ","99.5%","100","$a Hunter, A., $d active 1872","n 2009160969"
"107","014220906","700","1 ","$a Japhet, $e illustrator.","99.5%","100","$a Japhet, Cliff","no 98019282 ","99.5%","100","$a Japhet-Bialik, Shlomit","n 2008062745"
"108","014211311","700","1 ","$a Jensen, Marilyn, $e author.","99.5%","100","$a Jensen, Marilyn Anne","n  82149392 ","99.5%","100","$a Jensen, Marilyn, $d 1927-","n  83006605 "
"109","014170665","700","1 ","$a Jiménez, Reynaldo.","99.5%","100","$a Jiménez, Reynaldo, $d 1959-","n  85099414 ","99.5%","400","$a Jiménez, Reynaldo Gómez","no2006066462"
"110","014239765","700","1 ","$a Johns, Martin, $e author.","99.5%","100","$a Johns, Martin R., $c Mrs.","n  86859594 ","92.9%","400","$a Johns, Martina Wehrli-","no 94021617 "
"111","011147648","700","1 ","$a Kaplan, Matthew.","99.5%","400","$a Kaplan, Matthew S.","n  92072623 ","99.5%","400","$a Kaplan, Matthew, $d 1977-","n 2012042337"
"112","014250272","700","1 ","$a Kelley, Mary.","99.5%","100","$a Kelley, Mary Ann, $d 1948-","n 2005078526","99.5%","100","$a Kelley, Mary, $d 1954-","n 2010062342"
"113","002123016","700","1 ","$a Kharchenko, M.","99.5%","100","$a Kharchenko, M. S. $q (Mykola Semenovych)","n  82123627 ","99.5%","400","$a Kharchenko, M. O. $q (Mykola Oleksandrovych)","n  88016946 "
"114","013770956","700","1 ","$a Koch, Harold, $e editor.","99.5%","100","$a Koch, Harold B. $q (Harold Benjamin), $d 1936-","no2010150045","99.5%","100","$a Koch, Harold James","n  85812245 "
"115","014239770","700","1 ","$a Konstantinova, Natalia, $e editor.","99.5%","100","$a Konstantinova, Natalʹi͡a","no 00019196 ","99.5%","400","$a Konstantinova, Natalii͡a","no2001029788"
"116","014266283","700","1 ","$a Kramarow, Ellen.","99.5%","100","$a Kramarow, Ellen A.","n 2012188324","93.8%","400","$a Kramarow, E. A. $q (Ellen A.)","n 2012188324"
"117","014248138","700","1 ","$a Krenn, Martin, $e editor.","99.5%","100","$a Krenn, Martin, $d 1970-","nb2013012753","99.5%","100","$a Krenn, Martin, $d 1983-","no2013074165"
"118","014028785","700","1 ","$a Kulakarni, Nina.","99.5%","100","$a Kulakarṇī, Nīlā","n  89100172 ","99.5%","100","$a Kulakarṇī, Nīlāmbarī","no 98110635 "
"119","014029031","700","1 ","$a Kumar, Sujit.","99.5%","100","$a Kumar, Sujit, $d 1934-2010","no2014124318","92.3%","100","$a Kumar, Sujith","n 2012032184"
"120","014239756","700","1 ","$a Lazzarini, Victor, $e editor.","99.5%","100","$a Lazzarini, Victor, $d 1969-","nr 96035093 ","88.9%","100","$a Lazzarini, Vittorio, $d 1866-1957","nr 99035364 "
"121","014240965","700","1 ","$a Liu, Yuqi, $e editor.","99.5%","100","$a Liu, Yuqi, $d 1987-","no2013020545","90.0%","100","$a Liu, Yuqiong","n 2005047001"
"122","012695091","700","1 ","$a Luque, Marco, $e actor.","99.5%","400","$a Luque, Marco Terán","n  98033564 ","92.3%","400","$a Luque, Mariano González-Arnao Conde-","n  88268441 "
"123","002810632","700","1 ","$a MacDonald, K., $e former owner. $5 hou","99.5%","100","$a MacDonald, K. A.","nb 99146950 ","99.5%","100","$a MacDonald, K. Scot","n 2014035794"
"124","014239833","700","1 ","$a Magnenat-Thalmann, Nadia, $e editor.","99.5%","100","$a Magnenat-Thalmann, Nadia, $d 1946-","n  85093035 ","96.0%","400","$a Magnenat-Thalmann, N. $q (Nadia), $d 1946-","n  85093035 "
"125","014242728, 014242734, 014242795, 014242801, 014242854, and 2 other records affected also.","700","1 ","$a Malassis.","99.5%","100","$a Malassis de Sulamar, John-Baptist","nr 93023069 ","99.5%","100","$a Malassis, Louis","n  88665411 "
"126","014216374","700","1 ","$a Manley, James, $e translator.","99.5%","100","$a Manley, James C., $d 1952-","no 00082292 ","99.5%","100","$a Manley, James, $d 1949-","n  89230949 "
"127","014217484","700","1 ","$a Manuel, Pierre.","99.5%","100","$a Manuel, Pierre Louis, $d 1753-1793","no2008156640","99.5%","400","$w nna $a Manuel, Pierre, $d 1751-1793","n  83027762 "
"128","014239865","700","1 ","$a Martínez, Vicente, $e editor.","99.5%","100","$a Martínez, Vicente, $d 1956-","n 2013201757","99.5%","400","$a Martínez, Vicente Almenara, $d 1957-","n 2010064308"
"129","013734686","700","1 ","$a McConnell, Christian.","99.5%","100","$a McConnell, Christian David","no2006031314","85.7%","100","$a McConnell, Christine","n  85257241 "
"130","014216368","700","1 ","$a Metzger, Christoph.","99.5%","100","$a Metzger, Christoph, $d 1944-","n 2014073493","99.5%","100","$a Metzger, Christoph, $d active 17th century","no 97054144 "
"131","014160637","700","1 ","$a Mikirtumov, Ivan, $e editor.","99.5%","400","$a Mikirtumov, Ivan Borisovich","no2007028047","94.1%","100","$a Mikirtumov, I. B. $q (Ivan Borisovich)","no2007028047"
"132","014239795","700","1 ","$a Mitev, Nathalie, $e editor.","99.5%","100","$a Mitev, Nathalie Nadia","n  89614468 ","99.5%","100","$a Mitev, Nathalie, $d 1956-","n 2013049461"
"133","014239843","700","1 ","$a Mora, Antonio M., $e editor.","99.5%","100","$a Mora, Antonio $q (Mora-Aguilera, Antonio)","no2009092612","88.2%","100","$a Mora, Antonio Maximo, $d 1818-1897","n 2013029204"
"134","013868623","700","1 ","$a Moreno, $e photographer. $5 ber","99.5%","100","$a Moreno, $c Ogã, $d 1965-","no 00005728 ","99.5%","100","$a Moreno, $d 1963-","n  95104740 "
"135","014252260","700","1 ","$a Moreno, Paula, $e producer.","99.5%","400","$a Moreno, Paula López","no2012115000","85.7%","100","$a Moreno, Paul D., $d 1965-","n  96110834 "
"136","002810632","700","1 ","$a Morrell, $e binder. $5 hou","99.5%","100","$a Morrell, A. J. H.","no2009032172","99.5%","100","$a Morrell, Abby Jane, $d 1809-","n  92027280 "
"137","014110789","700","1 ","$a Muñiz, Ramon, $e performer.","99.5%","400","$a Muñiz, Ramón González","no2011039125","85.7%","400","$a Muñiz, Rafael González","n  98044989 "
"138","014242124","700","1 ","$a Muzo.","99.5%","100","$a Muzo, $d 1960-","n  96101095 ","99.5%","400","$a Muzo, Jean-Philippe, $d 1960-","n  96101095 "
"139","014225176","700","1 ","$a Müller, Mario, $e editor.","99.5%","100","$a Müller, Mario, $d 1940-","no2006068562","99.5%","100","$a Müller, Mario, $d 1976-","no2013142652"
"140","014215701","700","1 ","$a Müller, Sebastian, $e editor, $e author.","99.5%","100","$a Müller, Sebastian R.","nb2008025100","99.5%","100","$a Müller, Sebastian, $d active 2012","no2013063949"
"141","014239810, 014239811","700","1 ","$a Nugent, Chris, $e editor.","99.5%","100","$a Nugent, Chris D.","nb2006005640","92.9%","100","$a Nugent, Christopher, $d -1775","n  85056632 "
"142","014252539","700","1 ","$a O'Meara, John J.","99.5%","100","$a O'Meara, John J., $d 1915-2003","n  50002590 ","93.8%","400","$w nnea $a O'Meara, John Joseph","n  50002590 "
"143","014261710","700","1 ","$a Orlova, T. V., $e editor.","99.5%","100","$a Orlova, T. V., $c k.p.n","n 2002097246","99.5%","100","$a Orlova, T. V., $c kandidat filosofskikh nauk","n 2003110838"
"144","014209611","700","1 ","$a Peralta, Juan.","99.5%","100","$a Peralta, Juan Bautista, $d 1875-1933","n 2007004093","99.5%","100","$a Peralta, Juan Honorato","n  87139042 "
"145","014246530","700","1 ","$a Perelle, Nicolas.","99.5%","100","$a Perelle, Nicolas, $d 1631-1695","nb2007024303","88.2%","100","$a Perella, Nicolas J. $q (Nicolas James), $d 1927-","n  84230142 "
"146","014170910","700","1 ","$a Phạm Lan Oanh.","99.5%","400","$a Phạm, Lệ Oanh","n  85092302 ","93.3%","100","$a Phạm, Lan Oanh","nb2010028882"
"147","014239869","700","1 ","$a Pichler, Alois, $e author.","99.5%","100","$a Pichler, Alois, $d 1966-","no 95021953 ","99.5%","400","$a Pichler, Alois, $d 1833-1874","no2005086639"
"148","014262178","700","1 ","$a Porter, K., $e author.","99.5%","100","$a Porter, K. A.","n  89222799 ","99.5%","100","$a Porter, K. G. $q (Katharine G.)","nb2009001629"
"149","014249957","700","1 ","$a Ramamohan Rao, K., $e author.","99.5%","100","$a Ramamohan Rao, K., $d 1933-","n  89209998 ","94.4%","100","$a Ramamohan Rao, K. $c (Researcher)","nb2013022340"
