"Old/New","Ctrl No (010)","Tag","Ind","Heading"
"New","$a n 2010035595","100","1","$a Albrechtsberger, Johann Georg, $d 1736-1809. $t Quartets, $m violins (2), viola, cello, $n op. 7. $n No. 4-6","","",""
"Old","$a no2008025696","100","1","$a Alcorn, Michael Peter. $t Old woman of Beare","","",""
"New","$a no2008025696","100","1","$a Alcorn, Michael. $t Old woman of Beare","","",""
"Old","$a no 98075413","100","10","$a Alcorn, Michael Peter","","",""
"New","$a no 98075413","100","1","$a Alcorn, Michael","","",""
"Old","$a n  86819246","100","1","$a Alejandro, Ramon","","",""
"New","$a n  86819246","100","1","$a Alejandro, Ramón, $d 1943-","","",""
"Old","$a nr2004003830","100","1","$a Aleksandrov, Anatoliĭ Nikolaevich, $d 1888-1982. $t Quartets, $m strings, $n no. 1, op. 7","","",""
"New","$a nr2004003830","100","1","$a Aleksandrov, Anatoliĭ Nikolaevich, $d 1888-1982. $t Quartets, $m violins (2), viola, cello, $n no. 1, op. 7","","",""
"Old","$a no 00059692","100","1","$a Aleksandrov, Anatoliĭ Nikolaevich, $d 1888-1982. $t Quartets, $m strings, $n no. 4, op. 80","","",""
"New","$a no 00059692","100","1","$a Aleksandrov, Anatoliĭ Nikolaevich, $d 1888-1982. $t Quartets, $m violins (2), viola, cello, $n no. 4, op. 80","","",""
"Old","$a n  81055482","100","1","$a Aleksandrov, Georgiĭ Nikolaevich, $c writer on electricity","","",""
"New","$a n  81055482","100","1","$a Aleksandrov, Georgiĭ Nikolaevich $c (Writer on electricity)","","",""
"Old","$a n  88116708","100","10","$a Aleksandrova, L. P. $q (Lidii͡a Pavlovna)","","",""
"New","$a n  88116708","100","1","$a Aleksandrova, L. P. $q (Lidii︠a︡ Pavlovna)","","",""
"Old","$a n  86082588","100","10","$a Aleksandrova, T. D. $q (Tatʹi͡ana Davydovna)","","",""
"New","$a n  86082588","100","1","$a Aleksandrova, T. D. $q (Tatʹi︠a︡na Davydovna)","","",""
"Old","$a n  85365518","100","10","$a Aleksandrovskai͡a, S. M. $q (Sofʹi͡a Mikhaĭlovna), $d 1909-","","",""
"New","$a n  85365518","100","1","$a Aleksandrovskai︠a︡, S. M. $q (Sofʹi︠a︡ Mikhaĭlovna), $d 1909-","","",""
"Old","$a n  80162687","100","1","$a Alekseev, Aleksandr Mikhaĭlovich","","",""
"New","$a n  80162687","100","1","$a Alekseev, A. M. $q (Aleksandr Mikhaĭlovich)","","",""
"Old","$a nr 89009078","100","10","$a Alekseev, Aleksandr Emelʹi͡anovich, $d 1891-1975","","",""
"New","$a nr 89009078","100","1","$a Alekseev, Aleksandr Emelʹi︠a︡novich, $d 1891-1975","","",""
"Old","$a n  86059488","100","10","$a Alekseev, B. I͡A. $q (Boris I͡Akovlevich)","","",""
"New","$a n  86059488","100","1","$a Alekseev, B. I︠A︡. $q (Boris I︠A︡kovlevich)","","",""
"Old","$a n  85192008","100","10","$a Alekseev, I͡Uriĭ","","",""
"New","$a n  85192008","100","1","$a Alekseev, I︠U︡riĭ","","",""
"Old","$a n  85109868","100","10","$a Alekseeva, L. M. $q (Li͡ubovʹ Maksimovna)","","",""
"New","$a n  85109868","100","1","$a Alekseeva, L. M. $q (Li︠u︡bovʹ Maksimovna)","","",""
"Old","$a n  85806198","100","10","$a Alekseeva, L. V. $q (Li͡udmila Vi͡acheslavovna)","","",""
"New","$a n  85806198","100","1","$a Alekseeva, L. V. $q (Li︠u︡dmila Vi︠a︡cheslavovna)","","",""
"Old","$a n  85206428","100","10","$a Aleksievet͡s, N. M. $q (Nikolaĭ Mironovich)","","",""
"New","$a n  85206428","100","1","$a Aleksievet︠s︡, N. M. $q (Nikolaĭ Mironovich)","","",""
"Old","$a n  85164256","100","1","$a Aleksievich, Svetlana","","",""
"New","$a n  85164256","100","1","$a Aleksievich, Svetlana, $d 1948-","","",""
"Old","$a n  81055038","100","1","$a Aleskerov, I︠U︡riĭ Nikolaevich","","",""
"New","$a n  81055038","100","1","$a Aleskerov, I︠U︡. N. $q (I︠U︡riĭ Nikolaevich)","","",""
"Old","$a n  92111317","100","10","$a Alger, Israel, $d 1787-1825","","",""
"New","$a n  92111317","100","1","$a Alger, Israel, $c Jun., $d 1787-1825","","",""
"Old","$a no 97083955","100","10","$a Alimonda, Heitor. $t Trio, $m piano, strings","","",""
